No,userName,at,score,content,Sentimen
1519,R2 A_A,12/21/2022,5,Suka SM aplikasi ini,positif
1520,Abdul hamid Latupono94,12/21/2022,5,Sangat puas,positif
1521,Yupi Astika,12/21/2022,3,Tiga aja saya top up e toll kok gak masuk padahal sudah tertulis berhasil sampai toll kartu saya masih gak isi,negatif
1522,Yumidar Yumidar,12/21/2022,5,Setelah di update malah tidak bs di buka,negatif
1523,Lilyana Rihardini,12/21/2022,5,"Aq tuh sudah jadi nasabah mandiri sejak 2009, aq puas bgt sm pelayanan bank mandiri dalam hal aplikasi. Aksesnya mudah banget, aplg skrg jd makin lbh mudah klo slh password. Prnh sekali salah password 3 x berturut2 krna hp error. Gag perlu k cs klo mw reset ulang password, jd bs sndiri pake email qta . Trus aq suka fitur aplikasi ini lengkap dan mudah bgt dgunakan. Blm lg nominal transfernya bs diatas 50jt sehari utk sesama mandiri ataupun antar bank.pokoknya keren bgt deh ??ø??ø",positif
1524,Wawan Nurawan,12/21/2022,5,Good job,positif
1525,raisya zahra,12/21/2022,3,dbest bt livin by mandri semua jd lebih mudah.,positif
1526,nila shanty,12/21/2022,4,Mandiri the best,positif
1528,Nanda Nadin,12/21/2022,3,Livin harus update terbaru melulu.klo gk update ngk bisa di gunain..kadang udh update harus daftar ulang lagi???¦,negatif
1529,Tony Ashari,12/21/2022,5,Sangat mbantu,positif
1530,Agus Timan,12/21/2022,5,"Ok, sangat ???",positif
1531,Wanwan Ch,12/21/2022,5,"Sanagt tidak membantu berkali kali membuat pin baru hasilnya selalu pin tidak bisa disimpan mohon mencoba beberapa saat lagi , , admin tolong donk di bantu bagaimana ini penyelesaian nya",negatif
1532,Danz doank,12/21/2022,5,Okkk,positif
1533,cho lifah,12/21/2022,2,Terlalu sering update,negatif
1534,Chelsy kotan,12/21/2022,1,Harus update terbaru terus????????????,negatif
1535,Rahmat Sagandi,12/21/2022,3,Okelah,positif
1536,Lina Jaya,12/21/2022,5,Terimakasih.. Apk ini sangat membantu saya bertransaksi...?????????,positif
1538,firhan the popeye,12/21/2022,1,Jadi susah dibuka setelah diupdate,negatif
1539,Agus Joko,12/21/2022,5,Sangat membantu sekali..??????,positif
1541,Ion Apung,12/21/2022,2,"Update terus setiap saat, bingung nih apk... Msh ada space ram,tp muter terus,pandahal WiFi dan data selular full ..parah nih Livin",negatif
1542,junaidi Sahrul,12/21/2022,2,desember 2022 susah di update,negatif
1543,Saripudin,12/21/2022,5,"Sangat bagus, sangat membantu",positif
1544,Ihwan Hasani,12/21/2022,1,Baru update udah minta update lagi .. hadeeeuh.. admin lawak,negatif
1545,Bowo Bowo,12/21/2022,5,Luar biasa membantu,positif
1547,Bung Karno,12/21/2022,5,Mandiri oke,positif
1548,Maman Coslet,12/21/2022,5,Bagus mantap mudah,positif
1549,Vina Nurlatifah,12/21/2022,1,"Saya sudah clear chace tapi ketika login tetap belum berhasil terus menerus setelah saya update livin kuning tsb. Saya membutuhkan transaksi segera tapi kenapa tidak bisa digunakan padahal tadi sebelum saya update, saya bisa login seperti biasa. Ini setelah di update malah tidak bisa masuk. Saya sudah restart HP juga tidak berpengaruh.",negatif
1550,Nanda Permana,12/21/2022,1,Abis di update malah gak bisa login gimana lah maksudnya,negatif
1551,Ulfatun Hasana,12/21/2022,1,"Suruh update trus lgi dibutuhin juga bner""",negatif
1552,Geby Casper,12/21/2022,3,Setelah update lagi kok sering gangguan padahal jaringan bagus ????,negatif
1553,Patris Seran,12/21/2022,1,Kenapa livin saya tidak bisa untuk transfer ya ? Padahal baru selesai di upgrade. Kecewa banget..,negatif
1554,Fascal Akbar,12/21/2022,1,Aplikasi terjelek . Gangguan melulu .,negatif
1555,Rahmat hidayat,12/21/2022,1,Stelah update ga bisa masuk,negatif
1556,Awal Priyono,12/21/2022,5,proses login agak lama,negatif
1557,Amelia Prihatin,12/21/2022,1,"kecewa login gabisa ,di bilang data tidak sesuai padal sudah pernah login sebelum nya,dan di tambah sudah selesai bayar pakai QR ,saldo terpotong namun pembayaran belum berhasil(gagal) parah mohon di perbaiki setelah update sekarang livin susah untuk login ,",negatif
1558,Andika Agung,12/21/2022,4,Kasih bintang empat dulu livin yg baru susah di akses,negatif
1559,Wahyu Pratama,12/21/2022,1,Livin aneh liat nmr rekening kita aja susah taikkk,negatif
1560,Nasytul Fahmi,12/21/2022,1,"Taekk, mari apdet malah ga iso login.....",negatif
1561,Avin Rdgz,12/21/2022,1,"Gejalas, setiap hari aja ada update an.. biar puas",negatif
1562,wan syamsul,12/21/2022,5,"Livin by mandiri sangat membatu kita dalam proses apa pun..,,Mantapp... Sukses lalu mandiriku..",positif
1563,pito siswosutaryo,12/21/2022,5,Easy live,positif
1565,Bindo Labisa,12/21/2022,1,"Bentar2 harus update,,,bosen",negatif
1567,aris mulyono,12/21/2022,2,Apk'nya lemot banget mana minta update terus ????,negatif
1568,Budi Santoso,12/21/2022,5,Good job?????????,positif
1569,Agus Sodikin,12/21/2022,5,Mantaplah,positif
1571,Anisha Nur Aini Zain,12/21/2022,1,"Minta update an terus Padahal fitur yg dipakek ya itu"" aja Kalau lagi butuh buat tf malah minta update an dan gabisa dibuka",negatif
1572,Ainur Ustiawan,12/21/2022,5,Membntu,positif
1573,Ali Murtando,12/21/2022,5,"Akhirnya berhasil update, Livin makin mantab, terima kasih Livin",positif
1574,Jhon hendri Putrawan,12/21/2022,1,Eror terus,negatif
1576,Syamsul Arifin,12/21/2022,1,Kebnyakan pembaruan terus,negatif
1578,Arif Maulana,12/21/2022,5,Enk lebih cepet,positif
1579,Siti musrifah Imus,12/21/2022,5,Tks LIVIN sangat memudahkan saya untuk bertransaksi kapan pun dan di mana pun saya berada.,positif
1580,Unggul Sambowoaji,12/21/2022,1,"Saya kecewa dg mandiri, berkali kali up grade. Sprti tdk punya programer handal utk jangka waktu panjang. Sperti pola pikir sesaat tp di luncurkan. Hallo mandiri...",negatif
1581,Jahid rival Rival,12/21/2022,5,Ok sekali membantu,positif
1582,Riki Irawan,12/21/2022,1,Kenapa setelah di upgrede tidak bisa melakukan transaksi ke bank lain min?,negatif
1584,M Maman,12/21/2022,5,Sangat berguna,positif
1585,Yosi Prianti,12/21/2022,1,Up date truss nonok,negatif
1586,Adihardiansyah Adi,12/21/2022,1,"Ini apaan sih apk nya, kok setelah di update tiba2 kartu terblokir, pokoknya kecewa bangat sama apk nya.",negatif
1587,Dineu febrianeu,12/21/2022,1,Udh 100% tapi gabisa memasang,negatif
1588,Fitri Swastika,12/21/2022,3,Terlalu sering pembaruan,negatif
1589,Rubby Febriananda Nugraha,12/21/2022,1,"Update ngulang terus, 100% balik lagi... Klo gk niat update jngn suruh update bikin nasabah kecewa aj",negatif
1591,Rio Febrian,12/21/2022,5,Aman dan tidak ada kendala ?????????,positif
1593,Ruslan Ruslan,12/21/2022,5,Bagus nyaman,positif
1594,Mahendra Putra sinaga,12/21/2022,5,Sangat banyak membantu,positif
1595,Gindo Sinaga,12/21/2022,1,Update terus. Melelahkan,negatif
1596,UP Kotaku Kolaka,12/21/2022,4,Memudahkan untuk transaksi via online..,positif
1597,Kamong Gap,12/21/2022,5,Semoga selalu lancar tiap transaksi biar kita nasabah betah pakai livin,positif
1598,Agung Sawalludin,12/21/2022,1,mau update aj pake dipaksa,negatif
1599,Pak Alexander,12/21/2022,4,Tamba ribet aja mandiri..,negatif
1600,Suriady Sambas,12/21/2022,1,Livin gak jls transaksi di persulit gak jls,negatif
1601,ratna mahastuti,12/21/2022,4,saran buat laporan mutasinya ga bisa diklik untuk lihat keterangan transaksi apa.,negatif
1602,Soleh Udin,12/21/2022,5,Siip livin ok,positif
1604,Hasby Albany,12/21/2022,1,Gak bisa update,negatif
1605,Yann 22,12/21/2022,5,Terimakasih,positif
1606,Gun Anto,12/21/2022,5,Mandidi sangat mmbantu,positif
1607,bg biring,12/21/2022,1,"Setiap 10 hari update trs, ntah apa apa yg d update, klo lbh baik gpp, ini malah lbh ribet, lama kelamaan makin gk jelas mandiri ini, kecewa lh pokok nya",negatif
1612,Miptah Nurpalah,12/21/2022,1,bukan makin baik malam makin gak jelas,negatif
1613,Putriana Dyah Ayu,12/21/2022,4,Update mulu,negatif
1615,Ridwan Nugraha,12/21/2022,2,Udh di update lagi aja,negatif
1616,Ndot Blackmore,12/21/2022,1,mkin rumit,negatif
1617,Dani Gunawan,12/21/2022,2,Aplikasi gak jelas update trus padahal sama aja..cari untung trus,negatif
1620,Imam Pambudi,12/21/2022,5,Cakep apk nya sangat membantu,positif
1623,teeyon satria,12/21/2022,1,keseringan suruh update.. padahal layanan juga sama.,negatif
1624,Ella Julianto,12/21/2022,1,Kenapa jadi susah masuknya gk bisa di update tolong dong di perbaiki,negatif
1625,dhillah zaneeta,12/21/2022,5,Performa nya bgus,positif
1627,Sri Ningsih,12/21/2022,2,Gak jelas livin nih. Baru tgl 11 bulan ini di update. Udh suruh update lagi,negatif
1630,Flora Rumbewas,12/21/2022,5,Saya suka sekali dengan aplikasi Ini ?????¯????,positif
1632,29 Silvia Nensy,12/21/2022,3,capek disuruh update terosss,negatif
1633,Gus Sam,12/21/2022,4,Aplikasinya kenapa ga bisa dibuka...cuma muter?ý doang,negatif
1639,Daus Dausracing,12/21/2022,3,Sangat..baik,positif
1640,wildan ibnu Zibal,12/21/2022,1,Tetap ada biaya admin dalam transaksi,negatif
1642,keliling dunia,12/21/2022,1,Habis saya perbarui/update malah sulit masuknya. Kayak tidak conect. Parah bener. Sangat kecewa. Padahal tiap jam harus buka aplikasi ini. Gimana ini????? Cache sudah saya bersihkan berkali kali. Gimna solusinya???????,negatif
1643,Pebby Putra,12/21/2022,2,Livin semakin lama semakin buruk,negatif
1645,veriska dita,12/21/2022,1,Sering update mulu ribet bgt pas mo makek,negatif
1646,Novi Ardi,12/21/2022,5,"Dengan Livin' by Mandiri membuat saya menjadi lebih mudah, aman dan nyaman dalam melakukan transaksi keuangan",positif
1648,Benhard Tobing,12/21/2022,5,"Bagus tidak ada masalah ,lancar saja",positif
1649,Abdul Mirdamassinegar,12/21/2022,1,Tidak bisa transferrrr Banyak gangguan mbangking apaa ini gini,negatif
1651,Andik Outsider,12/21/2022,4,Update mulu deh,negatif
1654,Albi & Raysha Al Farissy,12/21/2022,5,"Aplikasinya mudah digunakan,dan gak ribet,alhamdulillah selama memakai aplikasi ini lancar2 saja.terimakasih livin by mandiri semoga tambah sukses lg dan tetap amanah ,Aamiin....",positif
1656,Abdul Rochim,12/21/2022,5,Mudah oprasinya,positif
1657,Media Excel & Aplikasi,12/21/2022,1,"Semenjak update terakhir, livin jadi gk bisa dibuka min..stak di tampilan muka aja..gk muncul loginnya..",negatif
1658,Rahmanda Pamungkas,12/21/2022,1,"Ribet tolol pake verifikasi muka segala, kamera depan gue lagi rusak. Lagian ngapain dah pake vermuk segala, GAJELAS",negatif
1660,Rizky Qqq,12/21/2022,1,"Hari ini saya tidak bisa transaksi menggunakan livin, ..belum bisa terhubung kami akan mengecek bla..bla.....",negatif
1661,GENDERUWO MALAM,12/21/2022,4,"Aku ksh 4,,, klo ada tarik tunai tanpa kartu dengan nominal 50 aku full bintangnya... Kasihan kuli akhir bulan sisa saldo 50 lumayan biat nyambung idup tapi g bisa di pergunakqn.",negatif
1662,Indra A P,12/21/2022,1,"Aplikasi kok ga guna, gak bisa di pakai, niat develop aplikasi gak ?",negatif
1663,Intan Zebua,12/21/2022,1,Tidak bisa terverifikasi,negatif
1665,rengga yuri alva,12/21/2022,5,"Yuk mandiri,coba lebih Detail lagi atau lebih Memudahkan lagi (Mencari Pembayaran) apapun yang ada di Mandiri.",negatif
1666,Aten Cc,12/21/2022,5,Saya suka app ini q,positif
1667,Aswan Sakha,12/21/2022,1,Kenapa baru di update malah jadi gak beres.. Isi pulsa gak masuk2.. Dana nya raib ntah ke mana.. Pulsa gak masuk2..,negatif
1668,oky burger,12/21/2022,4,Tidak bisa di instal ulang,negatif
1669,Abdhan Kurniansah,12/21/2022,2,"App tidak bisa dibuka setelah upgrade, tolong segera di perbaiki.",negatif
1672,Wayan Subagia,12/21/2022,5,Bagus dan sangat membantu mempermudah layanan,positif
1673,Rahman Handoko,12/21/2022,5,Mantap la pokok ny berteransaksi d livin,positif
1674,frengki sianturi,12/21/2022,5,Lumayan membantu,positif
1675,Rendi Suratno,12/21/2022,5,Mantap ?????????,positif
1677,AryaAdri Wirasena,12/21/2022,1,"Baru diapus rating bintang 1 nya, eh kumat lagi, masuk applikasi bru beberapa detik udah keluar sendiri, susah kali mau transaksi,kalian sebenernya mau maju gak sih?Noh dibaca reviewnya anjlok,bnyak komplain yg sama.Udah instal ulang ternyata versi yg baru lebih ribet,pakai verifikasi wajah,blom siap udah main jepret aja,pas gak pakai hijab,heiii balikin livin yg dlu, yg kirim balik sms udah langsung aktif!!! Kudu ke atm lagi utk verifikasi terakhirnya,kalian makin ribetttt!!!",negatif
1678,Pendy Cubuy,12/21/2022,5,Kenapa mau transaksi proses belum dapat dilanjutkan?,negatif
1679,rafika azha,12/21/2022,5,Mudah digunakan,positif
1680,Eko Darmawan,12/21/2022,5,Lancar,positif
1682,Indera Deatri,12/21/2022,1,Setelah di update yg terbaru malah susah dibukannya...,negatif
1683,Jaka Maul,12/21/2022,5,saya cukup puas,positif
1684,chandra sawitra,12/21/2022,5,Aplikasi perbankan yg recomended,positif
1685,Andy Jhack27,12/21/2022,3,Tolong d perbaiki Ko skrg jd susah masuk ...,negatif
1686,Iin Jinianti,12/21/2022,5,Mudah untuk membantu transaksi,positif
1687,Mila Mila,12/21/2022,5,Sangat bagus dan sangat membantu,positif
1688,Ardi Kurniawan,12/21/2022,5,Bagus... saran aja kalo bisa tiap buka aplikasi saldo tabungannya semakin bertambah biar makin Joss ??????,positif
1689,Tika Santika,12/21/2022,1,"sekarang aplikasi nya ngeselin anjiirrr ke hapus mau log in lagi pas verifikasi ga bisa suruh ke cabang terdekat , njiiirrr ribet bgt",negatif
1690,Ato Armant,12/21/2022,5,Memudahkan info.,positif
1691,Fera Agustina,12/21/2022,5,Knp si Livin ini bntr2 minta Update mulu.. Pdhl baru jg diupdate,negatif
1692,Hery Kurniawan,12/21/2022,4,Amazing,positif
1693,Atem Piyatu,12/21/2022,5,"Saya sangat puas pakek livin BM, memhemat waktu dan tenaga..",positif
1694,robby utama chanel,12/21/2022,5,Mantap senang puas,positif
1695,Yosevina Blegur,12/21/2022,1,Livin by mandiri selalu bermanfaat buat sy trimakasi Livin by mandiri,positif
1697,Rohmah krw,12/21/2022,1,"Susah digunakan, kalo malam ngeheng ga bisa masuk mentok..",negatif
1698,Ady Ady putra,12/21/2022,1,Tolong aplikasinya d perbaikin,negatif
1699,Panji Waskita,12/21/2022,1,"Tolong di benahi lagi. Cuma mau verifikasi login aja perlu ke ATM min, ribet lo itu. Belom lagi bagi sebagian orang yang lokasi ATM-nya jauh.",negatif
1700,Dasmanta Putra,12/21/2022,3,Good...,positif
1701,Rizky Andryansah,12/21/2022,1,Halo livin by mandiri Kenapa saya tidak bisa masuk ke aplikasi livin by mandiri Katanya kartu saya ke blokir padahal saya ga pernah salah pin ini gimana ya?,negatif
1702,Relly Nasution,12/21/2022,4,Kasih 4 dulu,positif
1703,Kasmudi Yadi,12/21/2022,5,Transaksi apapun lebih mudah & cepat pakai aplikasi livin ga perlu cari tempat atm.,positif
1706,Ipenk Angga,12/21/2022,4,Alhamdulillah agak sedikit terbantu,positif
1707,ST MaR,12/21/2022,5,Nah setelah update lagi baru bisa top up. Makasih,positif
1708,Iim Rohiman PS,12/21/2022,5,Terbantu,positif
1709,Tasepudin Udin,12/21/2022,5,Livin sangat membantu mksh bnyak,positif
1711,gayuh sb,12/21/2022,1,Setelah diupdate bukannya bagus malah jadi makin jelek aplikasinya. Sumpah nyesel banget update.,negatif
1712,Lois Pekade,12/21/2022,5,sangat membantu sekali,positif
1714,Citra Suju,12/21/2022,5,Bisa membantu,positif
1715,Yules Dima,12/21/2022,5,Bagus sekali,positif
1716,Mr Ro chips,12/21/2022,4,Sdh lumayan bagus APL nya tp lebih dikompliti link nya spt link tiket bis/kereta,negatif
1717,Teksin Fredian78,12/21/2022,1,Di kartu nya tidak ada tanggal tetapi harus masukin tanggal nya di aplikasi nya sangat ngecewain jadi tidak bisa masuk ke dalam aplikasi nya ya,negatif
1718,Bu Ajun,12/21/2022,5,Lebih mudah dan tdk mahal,positif
1719,Himawan 15,12/21/2022,5,juosssss,positif
1720,airul meizza,12/21/2022,5,"Memudahkan transaksi keuangan, dimanapun dan kapanpun",positif
1721,irma azizah,12/21/2022,1,Saya sudah 3 hari coba masuk akun lagi tapi ridak bisa. Setelah di perbaharui aplikasinya jadi sangat sangat sangat lelettt...tolong nasib kita yang di luar negeri.,negatif
1722,Ayi Family,12/21/2022,5,"Kenapa saya gunakan tidak berhasil terus ya kak, gimana solusinya? Transfer tidak berhasil, sudah clear cache juga padahal Sudah berhasil",negatif
1723,Affandi Ndi,12/21/2022,5,Mudah di gunakan & keamanan terjamin,positif
1724,Ichal 27,12/21/2022,1,Ngga ngguna...,negatif
1725,Iwa Kartiwa,12/21/2022,5,"Sangat membantu, semua ada di livin ?????????",positif
1726,Ridwan Setiawandi,12/21/2022,5,"Simpel, ga ribet, biaya tf lebih hemat ada bi fast nya",positif
1727,Dewi Ari,12/21/2022,5,Brhari hari livinku gk bisa d buka????????,negatif
1728,Devtwo Nafila,12/21/2022,5,"Sangat membantu sekali, segala urusan pembayaran dalam genggaman",positif
1729,Syaf shof,12/21/2022,5,"Terimakasih, istimewa, tapii.. biaya transfer mahit..",positif
1730,Siti Vira,12/21/2022,1,"Gk jelas ini apk nya tadi mau TF gk bisa Mulu , udh gitu pin saya udh bnr di blng salah jadi terblok deh akhirnya",negatif
1731,Rafi Joni,12/21/2022,5,Sangat membantu Terima kasih Livin',positif
1732,Yulia andriani2002,12/21/2022,2,Makin lemot aja nih livin,negatif
1734,motovlog bang jey212,12/21/2022,1,Setelah pembaruan tidak bisa transaksi jirrr kecewa bangett,negatif
1736,Firman Syah,12/21/2022,5,Kenapa ga bs di buka M-Banking nya,negatif
1737,Achmad Zainudin Annaja,12/21/2022,3,Kok manual ketik dana ovo shopie nya gak otomatis lagi,negatif
1739,Komarudin Komarudin,12/21/2022,5,Teran saksi yg begitu cepat dan ga ribet,positif
1740,Novara Andri,12/21/2022,1,Ga bisa login nih bang,negatif
1743,Aris Budiono,12/21/2022,5,Mohon fasiltisi QRIS dr galeri,negatif
1745,Nanda fz,12/21/2022,3,banyakk update nya,negatif
1746,Herry Sumardi,12/21/2022,1,Blom lama update sudah update lagi malah sekarang kagak bisa di update...,negatif
1747,Ahmad Saepullah,12/21/2022,4,Agak repot kalau mau stor tunai lewat livin harus milih lokasi kantor cabang yang tersedia di aplikasinya yang sialnya daerah saya karawang belum tersedia di pilihan kantor cabang di dalam aplikasinya gak kaya aplikasi bank kompetitor yang cuma harus masukin nomor hp buat ngirim kode transaksi dan bisa di akses di atm manapun,negatif
1748,Beape Pancoro,12/21/2022,5,User friendly,positif
1749,Tesar Kristiana,12/21/2022,5,Bagus dan bermanfaat sekali,positif
1750,Saipul Mulyadi,12/21/2022,4,Is the best,positif
1751,Isnaini's Family Channel,12/21/2022,5,Paling mudan aplikasinya,positif
1752,RENTAL SOUND SYSTEM JAKARTA SELATAN,12/21/2022,5,Sangat membantu bisnis saya. Sukses selalu Mandiri. Makasih.,positif
1753,Dini Pebinuari,12/21/2022,4,sering gangguan,negatif
1754,Jasilah Buhari,12/21/2022,1,Knp gak bisa dibuka,negatif
1757,Sis Wanto,12/21/2022,5,Fiturnya lengkap. Keren banget. Mudah juga,positif
1759,Ayi Atus,12/21/2022,4,Alhamdulillah semoga livin lebih memudahkan untuk bertransaksi,positif
1760,AHS GROUPS (Toko Herbal),12/21/2022,1,"Dulu lancar lama2 koq jadi gak bisa dibuka seperti bug, lalu Saya install yang baru 4 s/d 5 kali pakai gak bisa dibuka lagi..ini sudah 3 kali instal ini.. Kalau buat bisnis jadi merepotkan sendiri, Tolong diperbaiki lagi lah..apa sudah gak punya orang IT yang mumpuni ya sekelas Bank MANDIRI Bank Pemerintah bikin malu aja???",negatif
1761,Anik Hermanto,12/21/2022,5,Sangat membantu ??ø??ø,positif
1762,Fitri Mayani,12/21/2022,5,Aplikasi ini sgt membantu ???,positif
1763,Anton Hendrawan,12/21/2022,1,Perubahan periode kupon tiba-tiba berubah tanpa pemberitahuan sehingga tiba bisa dipakai. Baru jadi nasabah sudah dikecewakan dengan hal kecil.,negatif
1764,Nur Azizah,12/21/2022,5,Aplikasi ini sangat membantu dan memudahkan transaksi,positif
1766,Dandi Pratama,12/21/2022,5,Sangat memuaskan...???,positif
1767,Lendra atmawijaya,12/21/2022,5,Mantapp,positif
1768,SUTOWIDJOJO BANGUN BUMI MENOREH,12/21/2022,4,Mempermudah bertransaksi diwaktu malam tanpa harus ke ATM bagi saya yang tinggal di pedesaan.,positif
1769,Arfandi Pajak,12/21/2022,5,Sangat membantu ketika atm lagi keluar negri untuk sekolah,positif
1771,Khaerudin Khaerudin,12/21/2022,5,Lanjutkan...,positif
1772,Yanto Widodo,12/21/2022,1,Jelek ...,negatif
1773,Gunawan Gunawan,12/21/2022,5,Livin'by Mandiri sanggat memuaskan. dalam berbagai transaksi.????????????,positif
1774,Amran Qin,12/21/2022,5,"Sudah bagus, supaya bisa ditingkatkan lagi",positif
1775,Sutarya Asgar,12/21/2022,5,Sangat membatu pisan,positif
1776,Muhammad Haidar Al-Latif,12/21/2022,5,Sangat membantu sekali dlm kemudahan bertransaksi dll,positif
1777,aa ateng,12/21/2022,5,Manap gapke ribt,positif
1778,Petung Hasan,12/21/2022,5,Lebih nyaman bertransaksi,positif
1779,M AGUS SUPRIANTO,12/21/2022,1,Tolong di perbaiki lagi,negatif
1780,putra wiryatama,12/21/2022,4,Kasih bintang 4 aja dlu besok klu puas tambh lg...ok bgt sih sementra ini jd mudah mau transaksi apa aja bisa,positif
1781,Nia Suwandi,12/21/2022,2,Aneh... udah download n Daftar tapi gk bisa untuk Transaksi transfer ataupun isi Gopay,negatif
1785,Dannot JP,12/21/2022,4,"Mohon untuk Scan Sidik Jari nya diperbaiki, terkadang sering jadi kendala dan harus buat password baru Untuk fitur bayar multi payment diperlengkapi agar mudah melakukan transaksi terimakasih",negatif
1786,Lapendos Lapendos,12/21/2022,5,Ok sekali very good,positif
1787,Rano Sinaga,12/21/2022,5,Livin mantappp,positif
1788,Toni Kurniawan,12/21/2022,1,Ampundah eroor,negatif
1789,Faiz Alkaf,12/21/2022,5,top banget,positif
1790,Agus Faturrohman,12/21/2022,3,Sudah diperbarui malah sering lambat buka aplikasinya,negatif
1792,Gifhy Ariyadi,12/21/2022,5,App perbankan terbaik sampai saat ini,positif
1793,Sudirman Sultan,12/21/2022,1,Tau gini mending gk usah di update.... malah gk bs di akses... tolong di benahi lg aplikasinya secepatnya,negatif
1794,Rio Febriansyah,12/21/2022,1,setiap kali saya ingin top up selalu saja transaksi pembayaran gagal,negatif
1795,siti nurdhiyah,12/21/2022,5,Sangat suka dengan aplikasi Livin' by mandiri,positif
1796,Zaenal Rozikin,12/21/2022,5,Transaksi jd Lebih mudah,positif
1799,Noes Langkedeng,12/21/2022,5,Mantap ??????,positif
1802,Slamet Raharjo,12/21/2022,5,Perbankan kerja maksimal sangat membantu kepada nasabah,positif
1803,fathih AL,12/21/2022,5,"harapan kami para pengguna livin by mandir agar aplikasi bisa secepatnya dperbaiki karena masih sering terdapat bug atau kesalahan saat ingin login atau pun ketika ingin melakukan transfer,",negatif
1804,Maulana Saki,12/21/2022,1,"Gajelas banget apknya, transfer ke dana gagal teruss gajelaaa",negatif
1805,R4D3N N00B,12/21/2022,1,"Min kenapa pas saya top up ke link aja kok tidak bisa ya,selalu ada tulisan ""transaksi tidak berhasil""",negatif
1806,Saripudin Udin,12/21/2022,5,Semoga tetap jaya selalu dan sukses selalu wat bank mandiri,positif
1807,Retno Fendriani,12/21/2022,5,Keren bangettttt,positif
1808,Rifqi Sultoni,12/21/2022,5,terimakasih telah memberi kami banyak kemudahan dalam bertransaksi,positif
1809,eni Rohaeni,12/21/2022,5,Mudah sangat membantu,positif
1811,Hanz Hua,12/21/2022,5,Mantap....???????,positif
1812,Atowish Master,12/21/2022,5,"Dalam transaksi apa pun selalu , Mudah ,cepat ,tanpa ribet",positif
1815,Gharna Trinurda,12/21/2022,5,Transaksi keuangan jadi lebih mudah,positif
1816,Al-Hadj Zain,12/21/2022,5,Good Idea,positif
1817,Arni Sinau urip,12/21/2022,5,Top & keren,positif
1819,Ahmad Taroji,12/21/2022,5,"Aplikasi nya memudahkan nasabah, untuk bertransaksi",positif
1820,Muhammad Hasan Anwar,12/21/2022,5,Membantu banget,positif
1821,sam sudin,12/21/2022,5,Baru pake ja sudah terasa ke untungan nya simpel cerdas akurat ..sukses untuk bank mandiri ....,positif
1822,AM. HAFIZ88,12/21/2022,1,"Ini kenapa kok pas isi pulsa gak masuk2 pulsanya , sedangkan saldonya berkurang padahal nomornya udah benar dua kali ngisi gak masuk2..",negatif
1823,Widia Sari,12/21/2022,5,Sangat simpel dan mudah digunakan. Biaya transaksi ke sopipay dan gopay lebih murah. Terimakasih Livin,positif
1824,Wahyu Arifianto,12/21/2022,5,Mempermudah dan terpercaya,positif
1825,Bakol_Ambyar Channel_elex,12/21/2022,4,Layanan aplikasi yg cukup baik,positif
1826,chondro kirono,12/21/2022,4,Sudah berkali2 transaksi no rekening lawan ga kesimpen. Piye tho Iki? Update wae terus malah sangsoyo angel,negatif
1827,Mhd.tholib Tholib,12/21/2022,5,Sangat mudah ( baik sekali),positif
1828,Sriyanti Sukses,12/21/2022,1,Setelah di upgrade Gak bisa di buka lagi,negatif
1830,Wahyudiz,12/21/2022,1,Makin buriik,negatif
1831,Angga Anggi,12/21/2022,5,"Baik sangat memuaskan pengguna baru dpat vocer ikupon tpi sayang ATM nya gdi kirim ke alamat sudah aktifin livin 2 bulan,",negatif
1832,Binsar Michael Saragi,12/21/2022,5,Setelah saya update..isi rekening saya bertambah,positif
1833,Asnidar Nasir,12/21/2022,5,"Nyaman pake living , lebih simple",positif
1837,Duta Makassar,12/21/2022,5,Kemudahan dalam pengunaan,positif
1838,yofi yuni,12/21/2022,1,Ga kebuka,negatif
1839,galeri amba budaya batikkudus,12/21/2022,5,Transaksi jadi semakin mudah hanya dalam genggaman semua masalah keuangan bisa terselesaikan,positif
1840,Munier Nier,12/21/2022,5,Sangat memuaskan..,positif
1841,Sefthian Dharma,12/21/2022,1,"saya mau transfer gagal terus keterangan awal BELUM DAPAT DI PROSES terus sekarang malah BELUM BERHASIL TERHUBUNG, ini livin kacau banget sih",negatif
1843,Evi Sulistiyaningsih,12/21/2022,1,stlah upgrad mlh g bsa dbuka.????????,negatif
1844,Adi Azri,12/21/2022,5,Livin by MANDIRI semoga sukses,positif
1845,Muhammad Amin,12/21/2022,5,Sangat d percaya,positif
1846,Mariance Ansila Dopo,12/21/2022,5,Sangat mempermudah saya dalam melakukan transfer,positif
1848,trysolekah dewi,12/21/2022,1,"Udah beberapa hari mau dibuat tf gangguan terus,, mana urgent lagi,",negatif
1851,M FIQRI DILA,12/21/2022,5,Mantap betup,positif
1852,Hermawan Her,12/21/2022,5,Mantap berjalan dengan baik,positif
1855,Evitasari,12/21/2022,1,"Dikit?ý update apk, belom 2 minggu udh suruh update lagi, pas dibuka gaada fitur-fitur barunya, ngabisin memori doang lo update mulu tapi gaada kemajuan gajelas bgt.",negatif
1856,pa pi moko,12/21/2022,5,"Mudah cepat dan akurat,,,kartu jg diterima dengan baik sangat membantu",positif
1858,Tik ha,12/21/2022,5,Good pelayan jga ok,positif
